row	 col	 TR	 RR	 DET	 MEAN_dl	 MAX_dl	 DIV_dl	 ENT_dl	 ENTrel_dl	 LAM_vl	 TT_vl	 MAX_vl	 DIV_vl	 ENT_vl	 ENTrel_vl	 LAM_hl	 TT_hl	 MAX_hl	 DIV_hl	 ENT_hl	 ENTrel_hl	 nozero	 noone	 more2
       3	       4	 4900.00	    0.95	    1.00	   12.42	   42.00	    0.02	    2.93	    0.78	    1.00	   23.33	   42.00	    0.02	    1.10	    0.29	    1.00	   23.33	   42.00	    0.02	    1.10	    0.29	    0.00	    1.00	    1.00
       3	       5	 4900.00	    0.95	    1.00	   12.42	   51.00	    0.02	    2.73	    0.69	    1.00	   23.33	   51.00	    0.02	    1.10	    0.28	    1.00	   23.33	   51.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
       3	       6	 4900.00	    0.95	    1.00	   18.25	   44.00	    0.02	    3.45	    0.91	    1.00	   35.00	   44.00	    0.02	    0.69	    0.18	    1.00	   35.00	   44.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
       3	       7																							
       3	       8																							
       3	       9																							
       4	       1	 4356.00	    0.84	    1.00	   17.25	   53.00	    0.02	    3.09	    0.78	    1.00	   33.00	   53.00	    0.02	    0.69	    0.17	    1.00	   33.00	   53.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
       4	       2	 4761.00	    0.92	    0.97	   17.75	   59.00	    0.02	    2.97	    0.73	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       4	       3	 5041.00	    0.97	    1.00	   18.50	   52.00	    0.02	    3.29	    0.83	    1.00	   35.50	   52.00	    0.02	    0.69	    0.18	    1.00	   35.50	   52.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
       4	       4	 4489.00	    0.87	    0.99	    9.13	   40.00	    0.03	    2.59	    0.70	    1.00	   16.75	   40.00	    0.03	    1.39	    0.38	    1.00	   16.75	   40.00	    0.03	    1.39	    0.38	    0.00	    1.00	    1.00
       4	       5	 4489.00	    0.87	    1.00	   11.92	   53.00	    0.02	    2.61	    0.66	    1.00	   22.33	   53.00	    0.02	    1.10	    0.28	    1.00	   22.33	   53.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
       4	       6	 4900.00	    0.95	    1.00	   18.25	   66.00	    0.02	    2.81	    0.67	    1.00	   35.00	   66.00	    0.02	    0.69	    0.17	    1.00	   35.00	   66.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
       4	       7	  961.00	    0.19	    0.80	    5.43	   20.00	    0.05	    1.80	    0.60	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       4	       8																							
       4	       9																							
       5	       1	  289.00	    0.06	    0.97	    5.02	   11.00	    0.09	    2.01	    0.84	    1.00	    8.50	   11.00	    0.09	    0.69	    0.29	    1.00	    8.50	   11.00	    0.09	    0.69	    0.29	    0.00	    1.00	    1.00
       5	       2	 4489.00	    0.87	    0.96	    7.36	   36.00	    0.03	    2.45	    0.68	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       5	       3	 4225.00	    0.82	    0.99	    8.88	   25.00	    0.04	    2.75	    0.85	    1.00	   16.25	   25.00	    0.04	    1.39	    0.43	    1.00	   16.25	   25.00	    0.04	    1.39	    0.43	    0.00	    1.00	    1.00
       5	       4	 4900.00	    0.95	    1.00	   12.42	   40.00	    0.03	    2.98	    0.81	    1.00	   23.33	   40.00	    0.03	    1.10	    0.30	    1.00	   23.33	   40.00	    0.03	    1.10	    0.30	    0.00	    1.00	    1.00
       5	       5	 3844.00	    0.74	    0.97	    4.64	   30.00	    0.03	    1.99	    0.59	    1.00	    7.75	   30.00	    0.03	    1.91	    0.56	    1.00	    7.75	   30.00	    0.03	    1.91	    0.56	    0.00	    0.00	    1.00
       5	       6	 3969.00	    0.77	    0.98	    6.01	   22.00	    0.05	    2.28	    0.74	    1.00	   10.50	   22.00	    0.05	    1.56	    0.50	    1.00	   10.50	   22.00	    0.05	    1.56	    0.50	    0.00	    1.00	    1.00
       5	       7	 4761.00	    0.92	    0.99	    9.38	   27.00	    0.04	    2.80	    0.85	    1.00	   17.25	   27.00	    0.04	    1.39	    0.42	    1.00	   17.25	   27.00	    0.04	    1.39	    0.42	    0.00	    1.00	    1.00
       5	       8	 4900.00	    0.95	    1.00	   12.42	   60.00	    0.02	    2.51	    0.61	    1.00	   23.33	   60.00	    0.02	    1.10	    0.27	    1.00	   23.33	   60.00	    0.02	    1.10	    0.27	    0.00	    1.00	    1.00
       5	       9																							
       6	       1	 4761.00	    0.92	    0.99	    9.38	   28.00	    0.04	    2.75	    0.83	    1.00	   17.25	   28.00	    0.04	    1.39	    0.42	    1.00	   17.25	   28.00	    0.04	    1.39	    0.42	    0.00	    1.00	    1.00
       6	       2	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       6	       3	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       6	       4	 2809.00	    0.54	    0.94	    5.96	   24.00	    0.04	    2.20	    0.69	    0.98	   10.40	   24.00	    0.04	    1.33	    0.42	    0.98	   10.40	   24.00	    0.04	    1.33	    0.42	    0.00	    1.00	    1.00
       6	       5	 4624.00	    0.89	    0.99	    9.26	   27.00	    0.04	    2.78	    0.84	    1.00	   17.00	   27.00	    0.04	    1.39	    0.42	    1.00	   17.00	   27.00	    0.04	    1.39	    0.42	    0.00	    1.00	    1.00
       6	       6	 4489.00	    0.87	    1.00	   17.50	   58.00	    0.02	    2.97	    0.73	    1.00	   33.50	   58.00	    0.02	    0.69	    0.17	    1.00	   33.50	   58.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
       6	       7	 3721.00	    0.72	    0.92	    6.66	   23.00	    0.04	    2.43	    0.78	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       6	       8	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       6	       9																							
       7	       1	 4900.00	    0.95	    1.00	   18.25	   54.00	    0.02	    3.20	    0.80	    1.00	   35.00	   54.00	    0.02	    0.69	    0.17	    1.00	   35.00	   54.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
       7	       2	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       7	       3	 4624.00	    0.89	    1.00	   34.75	   68.00	    0.01	    4.20	    1.00	    1.00	   68.00	   68.00	    0.01	   -0.00	   -0.00	    1.00	   68.00	   68.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       7	       4	 4761.00	    0.92	    0.97	   12.09	   42.00	    0.02	    2.80	    0.75	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       7	       5	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       7	       6	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       7	       7																							
       7	       8																							
       7	       9																							
       8	       1	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       8	       2	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       8	       3	 1681.00	    0.32	    0.83	    4.57	   15.00	    0.07	    2.00	    0.74	    0.93	    7.60	   15.00	    0.07	    1.61	    0.59	    0.93	    7.60	   15.00	    0.07	    1.61	    0.59	    0.00	    1.00	    1.00
       8	       4	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       8	       5	 3249.00	    0.63	    0.92	    6.26	   19.00	    0.05	    2.37	    0.80	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       8	       6	 3969.00	    0.77	    0.99	    7.06	   34.00	    0.03	    2.23	    0.63	    1.00	   12.60	   34.00	    0.03	    1.33	    0.38	    1.00	   12.60	   34.00	    0.03	    1.33	    0.38	    0.00	    1.00	    1.00
       8	       7	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       8	       8																							
       8	       9																							
       9	       1	 4900.00	    0.95	    1.00	   18.25	   68.00	    0.01	    2.74	    0.65	    1.00	   35.00	   68.00	    0.01	    0.69	    0.16	    1.00	   35.00	   68.00	    0.01	    0.69	    0.16	    0.00	    1.00	    1.00
       9	       2	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
       9	       3	 4761.00	    0.92	    1.00	   12.26	   28.00	    0.04	    3.09	    0.93	    1.00	   23.00	   28.00	    0.04	    1.10	    0.33	    1.00	   23.00	   28.00	    0.04	    1.10	    0.33	    0.00	    1.00	    1.00
       9	       4	 4900.00	    0.95	    0.97	   18.00	   56.00	    0.02	    3.11	    0.77	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       9	       5	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
       9	       6	 4096.00	    0.79	    0.96	   11.26	   25.00	    0.04	    2.98	    0.93	    0.98	   21.00	   25.00	    0.04	    0.64	    0.20	    0.98	   21.00	   25.00	    0.04	    0.64	    0.20	    0.00	    1.00	    1.00
       9	       7	 4900.00	    0.95	    1.00	   12.42	   30.00	    0.03	    3.07	    0.90	    1.00	   23.33	   30.00	    0.03	    1.10	    0.32	    1.00	   23.33	   30.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
       9	       8																							
       9	       9																							
      10	       1	 4624.00	    0.89	    0.97	   17.50	   35.00	    0.03	    3.48	    0.98	    0.99	   33.50	   35.00	    0.03	    0.69	    0.19	    0.99	   33.50	   35.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      10	       2	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      10	       3	 5041.00	    0.97	    1.00	   18.50	   42.00	    0.02	    3.50	    0.94	    1.00	   35.50	   42.00	    0.02	    0.69	    0.19	    1.00	   35.50	   42.00	    0.02	    0.69	    0.19	    0.00	    1.00	    1.00
      10	       4	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      10	       5	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      10	       6	 3969.00	    0.77	    0.95	    5.93	   29.00	    0.03	    2.22	    0.66	    0.98	   10.33	   29.00	    0.03	    1.56	    0.46	    0.98	   10.33	   29.00	    0.03	    1.56	    0.46	    0.00	    1.00	    1.00
      10	       7	 3600.00	    0.69	    1.00	   15.75	   56.00	    0.02	    2.73	    0.68	    1.00	   30.00	   56.00	    0.02	    0.69	    0.17	    1.00	   30.00	   56.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      10	       8																							
      10	       9																							
      11	       1	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      11	       2	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      11	       3	 4356.00	    0.84	    1.00	   17.25	   38.00	    0.03	    3.44	    0.95	    1.00	   33.00	   38.00	    0.03	    0.69	    0.19	    1.00	   33.00	   38.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      11	       4	 5041.00	    0.97	    1.00	   18.50	   51.00	    0.02	    3.32	    0.84	    1.00	   35.50	   51.00	    0.02	    0.69	    0.18	    1.00	   35.50	   51.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      11	       5	 4900.00	    0.95	    0.97	   18.00	   38.00	    0.03	    3.51	    0.96	    0.99	   34.50	   38.00	    0.03	    0.69	    0.19	    0.99	   34.50	   38.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      11	       6	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      11	       7	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      11	       8																							
      11	       9																							
      12	       1	 3721.00	    0.72	    0.95	    6.76	   36.00	    0.03	    2.30	    0.64	    0.98	   12.00	   36.00	    0.03	    1.61	    0.45	    0.98	   12.00	   36.00	    0.03	    1.61	    0.45	    0.00	    1.00	    1.00
      12	       2	 2916.00	    0.56	    0.98	    5.27	   24.00	    0.04	    2.17	    0.68	    1.00	    9.00	   24.00	    0.04	    1.79	    0.56	    1.00	    9.00	   24.00	    0.04	    1.79	    0.56	    0.00	    0.00	    1.00
      12	       3	 2401.00	    0.46	    0.93	    4.77	   12.00	    0.08	    2.06	    0.83	    0.98	    8.00	   12.00	    0.08	    1.56	    0.63	    0.98	    8.00	   12.00	    0.08	    1.56	    0.63	    0.00	    0.00	    1.00
      12	       4	 3136.00	    0.60	    0.99	    7.76	   34.00	    0.03	    2.30	    0.65	    1.00	   14.00	   34.00	    0.03	    1.04	    0.29	    1.00	   14.00	   34.00	    0.03	    1.04	    0.29	    0.00	    1.00	    1.00
      12	       5	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      12	       6	 4761.00	    0.92	    1.00	   18.00	   51.00	    0.02	    3.25	    0.83	    1.00	   34.50	   51.00	    0.02	    0.69	    0.18	    1.00	   34.50	   51.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      12	       7	 3721.00	    0.72	    1.00	   10.92	   32.00	    0.03	    2.89	    0.83	    1.00	   20.33	   32.00	    0.03	    1.10	    0.32	    1.00	   20.33	   32.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      12	       8																							
      12	       9																							
      13	       1	 4624.00	    0.89	    0.97	   11.92	   45.00	    0.02	    2.73	    0.72	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      13	       2	 4624.00	    0.89	    1.00	   12.09	   60.00	    0.02	    2.12	    0.52	    1.00	   22.67	   60.00	    0.02	    0.64	    0.16	    1.00	   22.67	   60.00	    0.02	    0.64	    0.16	    0.00	    1.00	    1.00
      13	       3	 3364.00	    0.65	    0.99	    8.01	   25.00	    0.04	    2.56	    0.80	    1.00	   14.50	   25.00	    0.04	    1.39	    0.43	    1.00	   14.50	   25.00	    0.04	    1.39	    0.43	    0.00	    1.00	    1.00
      13	       4	 4761.00	    0.92	    1.00	   35.25	   69.00	    0.01	    4.22	    1.00	    1.00	   69.00	   69.00	    0.01	   -0.00	   -0.00	    1.00	   69.00	   69.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      13	       5	 4489.00	    0.87	    0.96	    9.01	   39.00	    0.03	    2.54	    0.69	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      13	       6	 4900.00	    0.95	    0.97	   35.25	   69.00	    0.01	    4.22	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      13	       7	 4624.00	    0.89	    1.00	   12.09	   51.00	    0.02	    2.66	    0.68	    1.00	   22.67	   51.00	    0.02	    1.10	    0.28	    1.00	   22.67	   51.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
      13	       8																							
      13	       9																							
      14	       1	 4900.00	    0.95	    1.00	   18.25	   58.00	    0.02	    3.08	    0.76	    1.00	   35.00	   58.00	    0.02	    0.69	    0.17	    1.00	   35.00	   58.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      14	       2	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      14	       3	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      14	       4	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      14	       5	 5041.00	    0.97	    1.00	   18.50	   56.00	    0.02	    3.18	    0.79	    1.00	   35.50	   56.00	    0.02	    0.69	    0.17	    1.00	   35.50	   56.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      14	       6	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      14	       7	 4761.00	    0.92	    0.97	   17.75	   42.00	    0.02	    3.43	    0.92	    0.99	   34.00	   42.00	    0.02	    0.69	    0.19	    0.99	   34.00	   42.00	    0.02	    0.69	    0.19	    0.00	    1.00	    1.00
      14	       8																							
      14	       9																							
      15	       1	 4356.00	    0.84	    1.00	   11.76	   58.00	    0.02	    2.45	    0.60	    1.00	   22.00	   58.00	    0.02	    1.10	    0.27	    1.00	   22.00	   58.00	    0.02	    1.10	    0.27	    0.00	    0.00	    1.00
      15	       2	 4356.00	    0.84	    1.00	   11.76	   58.00	    0.02	    2.45	    0.60	    1.00	   22.00	   58.00	    0.02	    1.10	    0.27	    1.00	   22.00	   58.00	    0.02	    1.10	    0.27	    0.00	    0.00	    1.00
      15	       3	 3600.00	    0.69	    0.96	   10.59	   36.00	    0.03	    2.70	    0.75	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      15	       4	 4489.00	    0.87	    1.00	   11.92	   51.00	    0.02	    2.62	    0.67	    1.00	   22.33	   51.00	    0.02	    1.10	    0.28	    1.00	   22.33	   51.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
      15	       5	 4624.00	    0.89	    1.00	   12.09	   32.00	    0.03	    3.05	    0.88	    1.00	   22.67	   32.00	    0.03	    1.10	    0.32	    1.00	   22.67	   32.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      15	       6	 4624.00	    0.89	    1.00	   12.09	   50.00	    0.02	    2.66	    0.68	    1.00	   22.67	   50.00	    0.02	    1.10	    0.28	    1.00	   22.67	   50.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
      15	       7	 4624.00	    0.89	    0.97	   17.50	   59.00	    0.02	    2.93	    0.72	    0.99	   33.50	   59.00	    0.02	    0.69	    0.17	    0.99	   33.50	   59.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      15	       8																							
      15	       9																							
      16	       1	 4761.00	    0.92	    1.00	   18.00	   67.00	    0.01	    2.73	    0.65	    1.00	   34.50	   67.00	    0.01	    0.69	    0.16	    1.00	   34.50	   67.00	    0.01	    0.69	    0.16	    0.00	    1.00	    1.00
      16	       2	 4761.00	    0.92	    1.00	   18.00	   61.00	    0.02	    2.94	    0.72	    1.00	   34.50	   61.00	    0.02	    0.69	    0.17	    1.00	   34.50	   61.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      16	       3	 4900.00	    0.95	    1.00	   18.25	   57.00	    0.02	    3.11	    0.77	    1.00	   35.00	   57.00	    0.02	    0.69	    0.17	    1.00	   35.00	   57.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      16	       4	 4489.00	    0.87	    1.00	   17.50	   59.00	    0.02	    2.93	    0.72	    1.00	   33.50	   59.00	    0.02	    0.69	    0.17	    1.00	   33.50	   59.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      16	       5	 4489.00	    0.87	    1.00	   11.92	   58.00	    0.02	    2.48	    0.61	    1.00	   22.33	   58.00	    0.02	    1.10	    0.27	    1.00	   22.33	   58.00	    0.02	    1.10	    0.27	    0.00	    1.00	    1.00
      16	       6	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      16	       7	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      16	       8																							
      16	       9																							
      17	       1	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      17	       2	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      17	       3	 4489.00	    0.87	    1.00	   34.25	   67.00	    0.01	    4.19	    1.00	    1.00	   67.00	   67.00	    0.01	   -0.00	   -0.00	    1.00	   67.00	   67.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      17	       4	 4761.00	    0.92	    1.00	   12.26	   59.00	    0.02	    2.51	    0.62	    1.00	   23.00	   59.00	    0.02	    1.10	    0.27	    1.00	   23.00	   59.00	    0.02	    1.10	    0.27	    0.00	    1.00	    1.00
      17	       5	 4761.00	    0.92	    1.00	   18.00	   60.00	    0.02	    2.98	    0.73	    1.00	   34.50	   60.00	    0.02	    0.69	    0.17	    1.00	   34.50	   60.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      17	       6	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      17	       7	  441.00	    0.09	    1.00	   11.26	   21.00	    0.05	    2.99	    0.98	    1.00	   21.00	   21.00	    0.05	   -0.00	   -0.00	    1.00	   21.00	   21.00	    0.05	   -0.00	   -0.00	    0.00	    1.00	    1.00
      17	       8																							
      17	       9																							
      18	       1	 4900.00	    0.95	    1.00	   18.25	   38.00	    0.03	    3.52	    0.97	    1.00	   35.00	   38.00	    0.03	    0.69	    0.19	    1.00	   35.00	   38.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      18	       2	 4096.00	    0.79	    0.99	    8.76	   36.00	    0.03	    2.56	    0.71	    1.00	   16.00	   36.00	    0.03	    1.39	    0.39	    1.00	   16.00	   36.00	    0.03	    1.39	    0.39	    0.00	    1.00	    1.00
      18	       3	 4624.00	    0.89	    1.00	   17.75	   40.00	    0.03	    3.46	    0.94	    1.00	   34.00	   40.00	    0.03	    0.69	    0.19	    1.00	   34.00	   40.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      18	       4	 4096.00	    0.79	    0.96	    7.06	   25.00	    0.04	    2.43	    0.76	    0.98	   12.60	   25.00	    0.04	    1.33	    0.41	    0.98	   12.60	   25.00	    0.04	    1.33	    0.41	    0.00	    1.00	    1.00
      18	       5	 4225.00	    0.82	    0.96	    7.16	   20.00	    0.05	    2.53	    0.84	    0.98	   12.80	   20.00	    0.05	    1.61	    0.54	    0.98	   12.80	   20.00	    0.05	    1.61	    0.54	    0.00	    1.00	    1.00
      18	       6	 4489.00	    0.87	    0.99	    7.46	   43.00	    0.02	    2.36	    0.63	    1.00	   13.40	   43.00	    0.02	    1.61	    0.43	    1.00	   13.40	   43.00	    0.02	    1.61	    0.43	    0.00	    1.00	    1.00
      18	       7																							
      18	       8																							
      18	       9																							
      19	       1	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      19	       2	 4489.00	    0.87	    0.99	    7.46	   24.00	    0.04	    2.56	    0.80	    1.00	   13.40	   24.00	    0.04	    1.61	    0.51	    1.00	   13.40	   24.00	    0.04	    1.61	    0.51	    0.00	    1.00	    1.00
