row	 col	 TR	 RR	 DET	 MEAN_dl	 MAX_dl	 DIV_dl	 ENT_dl	 ENTrel_dl	 LAM_vl	 TT_vl	 MAX_vl	 DIV_vl	 ENT_vl	 ENTrel_vl	 LAM_hl	 TT_hl	 MAX_hl	 DIV_hl	 ENT_hl	 ENTrel_hl	 nozero	 noone	 more2
      32	       4	 5041.00	    0.97	    1.00	   18.50	   37.00	    0.03	    3.54	    0.98	    1.00	   35.50	   37.00	    0.03	    0.69	    0.19	    1.00	   35.50	   37.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      32	       5	 4900.00	    0.95	    1.00	   18.25	   36.00	    0.03	    3.53	    0.98	    1.00	   35.00	   36.00	    0.03	    0.69	    0.19	    1.00	   35.00	   36.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      32	       6	 4761.00	    0.92	    1.00	   18.00	   44.00	    0.02	    3.42	    0.90	    1.00	   34.50	   44.00	    0.02	    0.69	    0.18	    1.00	   34.50	   44.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      32	       7	 4761.00	    0.92	    1.00	   18.00	   62.00	    0.02	    2.91	    0.71	    1.00	   34.50	   62.00	    0.02	    0.69	    0.17	    1.00	   34.50	   62.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      32	       8																							
      32	       9																							
      33	       1	 4356.00	    0.84	    1.00	   11.76	   47.00	    0.02	    2.73	    0.71	    1.00	   22.00	   47.00	    0.02	    1.10	    0.29	    1.00	   22.00	   47.00	    0.02	    1.10	    0.29	    0.00	    1.00	    1.00
      33	       2	 4761.00	    0.92	    0.97	   34.75	   68.00	    0.01	    4.20	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      33	       3	 4624.00	    0.89	    1.00	   17.75	   58.00	    0.02	    3.01	    0.74	    1.00	   34.00	   58.00	    0.02	    0.69	    0.17	    1.00	   34.00	   58.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      33	       4	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      33	       5	 4900.00	    0.95	    1.00	   18.25	   37.00	    0.03	    3.53	    0.98	    1.00	   35.00	   37.00	    0.03	    0.69	    0.19	    1.00	   35.00	   37.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      33	       6	 4624.00	    0.89	    1.00	   12.09	   31.00	    0.03	    3.06	    0.89	    1.00	   22.67	   31.00	    0.03	    1.10	    0.32	    1.00	   22.67	   31.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      33	       7	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      33	       8																							
      33	       9																							
      34	       1	 5041.00	    0.97	    1.00	   18.50	   58.00	    0.02	    3.12	    0.77	    1.00	   35.50	   58.00	    0.02	    0.69	    0.17	    1.00	   35.50	   58.00	    0.02	    0.69	    0.17	    0.00	    1.00	    1.00
      34	       2	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      34	       3	 4900.00	    0.95	    1.00	   18.25	   35.00	    0.03	    3.52	    0.99	    1.00	   35.00	   35.00	    0.03	   -0.00	   -0.00	    1.00	   35.00	   35.00	    0.03	   -0.00	   -0.00	    0.00	    1.00	    1.00
      34	       4	 4761.00	    0.92	    0.97	   34.75	   68.00	    0.01	    4.20	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      34	       5	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      34	       6	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      34	       7	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      34	       8																							
      34	       9																							
      35	       1	 4761.00	    0.92	    1.00	   18.00	   45.00	    0.02	    3.40	    0.89	    1.00	   34.50	   45.00	    0.02	    0.69	    0.18	    1.00	   34.50	   45.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      35	       2	 4489.00	    0.87	    1.00	   11.92	   53.00	    0.02	    2.58	    0.65	    1.00	   22.33	   53.00	    0.02	    1.10	    0.28	    1.00	   22.33	   53.00	    0.02	    1.10	    0.28	    0.00	    1.00	    1.00
      35	       3	 4624.00	    0.89	    1.00	   17.75	   38.00	    0.03	    3.49	    0.96	    1.00	   34.00	   38.00	    0.03	    0.69	    0.19	    1.00	   34.00	   38.00	    0.03	    0.69	    0.19	    0.00	    1.00	    1.00
      35	       4	 4489.00	    0.87	    0.99	    9.13	   33.00	    0.03	    2.63	    0.75	    1.00	   16.75	   33.00	    0.03	    1.39	    0.40	    1.00	   16.75	   33.00	    0.03	    1.39	    0.40	    0.00	    1.00	    1.00
      35	       5	 4356.00	    0.84	    1.00	   11.76	   36.00	    0.03	    2.87	    0.80	    1.00	   22.00	   36.00	    0.03	    1.10	    0.31	    1.00	   22.00	   36.00	    0.03	    1.10	    0.31	    0.00	    1.00	    1.00
      35	       6	 4489.00	    0.87	    0.97	   11.76	   43.00	    0.02	    2.77	    0.74	    0.99	   22.00	   43.00	    0.02	    1.10	    0.29	    0.99	   22.00	   43.00	    0.02	    1.10	    0.29	    0.00	    1.00	    1.00
      35	       7	 4900.00	    0.95	    1.00	   18.25	   41.00	    0.02	    3.49	    0.94	    1.00	   35.00	   41.00	    0.02	    0.69	    0.19	    1.00	   35.00	   41.00	    0.02	    0.69	    0.19	    0.00	    1.00	    1.00
      35	       8																							
      35	       9																							
      36	       1	 5184.00	    1.00	    1.00	   36.75	   72.00	    0.01	    4.26	    1.00	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	    0.00	    1.00	    1.00
      36	       2	 2116.00	    0.41	    0.99	    8.43	   31.00	    0.03	    2.48	    0.72	    1.00	   15.33	   31.00	    0.03	    1.10	    0.32	    1.00	   15.33	   31.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      36	       3	 4356.00	    0.84	    0.99	    7.36	   23.00	    0.04	    2.54	    0.81	    1.00	   13.20	   23.00	    0.04	    1.61	    0.51	    1.00	   13.20	   23.00	    0.04	    1.61	    0.51	    0.00	    1.00	    1.00
      36	       4	 4356.00	    0.84	    1.00	   11.76	   40.00	    0.03	    2.78	    0.75	    1.00	   22.00	   40.00	    0.03	    1.10	    0.30	    1.00	   22.00	   40.00	    0.03	    1.10	    0.30	    0.00	    1.00	    1.00
      36	       5	 3721.00	    0.72	    1.00	   10.92	   30.00	    0.03	    2.79	    0.82	    1.00	   20.33	   30.00	    0.03	    1.10	    0.32	    1.00	   20.33	   30.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      36	       6	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      36	       7																							
      36	       8																							
      36	       9																							
      37	       1	 4624.00	    0.89	    1.00	   12.09	   32.00	    0.03	    2.91	    0.84	    1.00	   22.67	   32.00	    0.03	    1.10	    0.32	    1.00	   22.67	   32.00	    0.03	    1.10	    0.32	    0.00	    1.00	    1.00
      37	       2	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      37	       3	 4900.00	    0.95	    1.00	   18.25	   67.00	    0.01	    2.78	    0.66	    1.00	   35.00	   67.00	    0.01	    0.69	    0.16	    1.00	   35.00	   67.00	    0.01	    0.69	    0.16	    0.00	    1.00	    1.00
      37	       4	 5041.00	    0.97	    1.00	   36.25	   71.00	    0.01	    4.25	    1.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    1.00	   71.00	   71.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      37	       5	 4624.00	    0.89	    0.97	   17.50	   45.00	    0.02	    3.34	    0.88	    0.99	   33.50	   45.00	    0.02	    0.69	    0.18	    0.99	   33.50	   45.00	    0.02	    0.69	    0.18	    0.00	    1.00	    1.00
      37	       6	 4900.00	    0.95	    1.00	   35.75	   70.00	    0.01	    4.23	    1.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    1.00	   70.00	   70.00	    0.01	   -0.00	   -0.00	    0.00	    1.00	    1.00
      37	       7																							
      37	       8																							
      37	       9																							
      38	       1	 3969.00	    0.77	    1.00	   11.26	   35.00	    0.03	    2.78	    0.78	    1.00	   21.00	   35.00	    0.03	    1.10	    0.31	    1.00	   21.00	   35.00	    0.03	    1.10	    0.31	    0.00	    1.00	    1.00
