1,2.9948,4.2024,2.2872,2.8938,2.7478,3.3888
2,4.2319,2.5029,0.63651,2.6614,2.3908,4.2319
3,3.3888,2.6844,4.2605,2.9293,2.7266,3.4452
4,3.0902,2.9721,3.2903,2.5916,2.6088,2.8121
5,2.0127,2.4485,2.7452,2.9788,1.9913,2.2819
6,2.7502,4.2605,4.2605,2.1985,2.7768,2.9656
7,3.2024,4.2605,4.2024,2.7953,4.2463,4.2319
8,4.2605,4.2605,2.0013,4.2605,2.3688,2.2256
9,2.7397,4.2463,3.0876,3.1074,4.2605,2.9788
10,3.4818,4.2463,3.5019,4.2605,4.2463,2.2168
11,4.2605,4.2605,3.4442,3.3163,3.5051,4.2605
12,2.3046,2.1735,2.0647,2.3029,4.2605,3.2533
13,2.7304,2.1191,2.5621,4.2173,2.5421,4.2173
14,3.0817,4.2463,4.2605,4.2605,3.1784,4.2463
15,2.4454,2.4454,2.6952,2.6195,3.0528,2.6639
16,2.7315,2.9447,3.1129,2.9314,2.4848,4.2463
17,4.2605,4.2319,4.1873,2.5103,2.9784,4.2463
18,3.5232,2.5591,3.4629,2.4331,2.5291,2.3583
19,4.2463,2.5568,2.5449,2.4881,1.6756,2.8293
20,4.2319,1.8801,-0,4.2463,2.5361,2.9248
21,1.7456,0.67452,0.63651,3.5263,1.238,1.8724
22,2.3545,1.5737,1.6087,4.2605,4.2605,2.0228
23,2.8159,2.8159,3.2257,4.2319,4.2463,4.2463
24,3.306,4.2463,3.2359,4.2605,3.5079,4.2319
25,4.2605,3.4052,3.004,4.2463,4.2319,4.2463
26,4.2024,2.9223,4.2463,2.3682,3.2636,1.9359
27,3.3721,2.09,4.2319,4.2463,4.2463,4.2605
28,2.4345,4.2605,4.2463,3.9862,3.3603,2.8045
29,4.2173,4.2319,4.2319,4.2173,2.6953,2.7648
30,2.2315,2.7351,2.1537,2.2357,1.9099,2.7185
31,3.4714,4.2605,3.0817,2.9861,3.0168,2.6344
32,2.6173,4.2319,4.2319,3.5415,3.5257,3.4195
33,2.7342,4.2024,3.0054,4.2319,3.5268,3.062
34,3.1183,4.2463,3.5219,4.2024,4.2463,4.2319
35,3.3992,2.5778,3.4859,2.6287,2.8737,2.7684
36,4.2605,2.4849,2.5385,2.783,2.7888,4.2463
37,2.9131,4.2463,2.7761,4.2463,3.3431,4.2319
38,2.7809,2.742,3.2853,2.7,2.1627,2.4814
39,4.2319,4.2605,4.2173,4.2319,4.2463,4.2605
40,2.1152,3.2853,1.5706,0.9121,2.1923,3.5257
41,4.2605,3.2853,4.2319,4.2319,4.2319,4.2463
